cod_apli_prod,descri_cod_apli_prod,num_cta,fecha_creacion,fecha_ultimo_pago,vlr_original,vlr_pagado,vlr_pendiente_pago,cod_trn,descri_cod_trn,estado_recuperacion,tasa_recuperacion,dias_gestion,dias_desde_creacion,banda_antiguedad,flag_reciente,pagada_total,flag_inconsistencia_contable,flag_fecha_invertida,flag_pago_mayor_original
S,AHORRO,84443321151,2025-02-11,2025-04-11,154.08,154.08,0.0,1517,COBRO SERVICIO TRANSPORTE,PAGADA_TOTAL,1.0,59,272,91+,0,1,0,0,0
S,AHORRO,85352974856,2024-11-03,2025-09-21,1278.25,1278.25,0.0,2107,CARGO FISCAL IVA TRASLADO,PAGADA_TOTAL,1.0,322,372,91+,0,1,0,0,0
S,AHORRO,97822810913,2025-05-01,2025-06-25,5646.89,5646.89,0.0,834,CARGO FISCAL TRANSACCIONAL,PAGADA_TOTAL,1.0,55,193,91+,0,1,0,0,0
S,AHORRO,38571076870,2024-12-22,2025-07-14,285.77,257.19,28.58,834,CARGO FISCAL TRANSACCIONAL,PAGO_PARCIAL,0.9,204,323,91+,0,0,0,0,0
S,AHORRO,92759986619,2025-02-22,2025-09-01,17048.76,17048.76,0.0,834,CARGO FISCAL TRANSACCIONAL,PAGADA_TOTAL,1.0,191,261,91+,0,1,0,0,0
S,AHORRO,45058872234,2025-05-21,2025-07-22,370.19,370.19,0.0,788,TRANSFERENCIA CANAL FISICO,PAGADA_TOTAL,1.0,62,173,91+,0,1,0,0,0
S,AHORRO,30719760344,2025-05-03,2025-08-03,27623.59,27623.59,0.0,834,CARGO FISCAL TRANSACCIONAL,PAGADA_TOTAL,1.0,92,191,91+,0,1,0,0,0
S,AHORRO,25026503559,2024-12-30,2025-07-16,693.88,693.88,0.0,1517,COBRO SERVICIO TRANSPORTE,PAGADA_TOTAL,1.0,198,315,91+,0,1,0,0,0
S,AHORRO,23809278607,2024-11-27,2025-03-28,2039.71,2039.71,0.0,497,PAGO SERVICIO ELECTRONICO,PAGADA_TOTAL,1.0,121,348,91+,0,1,0,0,0
S,AHORRO,97668253073,2025-03-12,2025-06-16,637.51,573.76,63.75,834,CARGO FISCAL TRANSACCIONAL,PAGO_PARCIAL,0.9,96,243,91+,0,0,0,0,0
S,AHORRO,48150626436,2025-02-01,2025-08-21,1464.14,1464.14,0.0,1517,COBRO SERVICIO TRANSPORTE,PAGADA_TOTAL,1.0,201,282,91+,0,1,0,0,0
S,AHORRO,15682950513,2025-07-06,2025-09-29,1383.44,0.0,1383.44,834,CARGO FISCAL TRANSACCIONAL,SIN_PAGO,0.0,,127,91+,0,0,0,0,0
S,AHORRO,54242783600,2025-01-06,2025-01-07,1001.68,1001.68,0.0,834,CARGO FISCAL TRANSACCIONAL,PAGADA_TOTAL,1.0,1,308,91+,0,1,0,0,0
